ROLES,CAUSE
ARCHITECT,CHANGE OF SCOPE
ARCHITECT,LACK OF AUTOMATED TESTING
ARCHITECT,LACK OF IT GOVERNANCE
ARCHITECT,LACK OF TEAM COMMUNICATION
ARCHITECT,NON-COMPLIANCE WITH POLICIES ESTABLISHED BY MANAGEMENT
ARCHITECT,COMPLEXITY OF THE PROJECT
ARCHITECT,PROBLEMS IN ARCHITECTURE
ARCHITECT,INADEQUATE MANAGEMENT DECISION
ARCHITECT,NORMATIVE CHANGES
ARCHITECT,LACK OF TRAINING
ARCHITECT,DEVELOPERS DO NOT LIKE TO DO SOME ACTIVITIES
ARCHITECT,NON-SHARING OF KNOWLEDGE
ARCHITECT,THE COMPANY DOES NOT GIVE IMPORTANCE TO DOCUMENTATION
ARCHITECT,LACK OF MOTIVATION
ARCHITECT,LACK OF KNOWLEDGE
ARCHITECT,REQUIRED INFRASTRUCTURE UNAVAILABLE
ARCHITECT,LACK OF INTEREST IN ACQUIRING KNOWLEDGE
ARCHITECT,LACK OF REUSE PRACTICES
ARCHITECT,NO BUG FIXES
TECHNICAL,DEADLINE
TECHNICAL,INAPPROPRIATE PLANNING
TECHNICAL,NOT EFFECTIVE PROJECT MANAGEMENT
TECHNICAL,FOCUS ON PRODUCING MORE AT THE EXPENSE OF QUALITY
TECHNICAL,INACCURATE TIME ESTIMATE
TECHNICAL,LACK OF QUALIFIED PROFESSIONALS
TECHNICAL,LACK OF TECHNICAL KNOWLEDGE
TECHNICAL,LACK OF A WELL-DEFINED PROCESS
TECHNICAL,LACK OF EXPERIENCE
TECHNICAL,NON-ADOPTION OF GOOD PRACTICES
TECHNICAL,LACK OF TEAM COMMUNICATION
TECHNICAL,BAD DESIGN
TECHNICAL,PRESSURE
TECHNICAL,TEAM OVERLOAD
TECHNICAL,INAPPROPRIATE / POORLY PLANNED / POORLY EXECUTED TEST
TECHNICAL,INACCURATE OR COMPLEX REQUIREMENT
TECHNICAL,CUSTOMER DOES NOT KNOW HIS OWN NEEDS
TECHNICAL,LACK OF KNOWLEDGE ON DEVELOPMENT TOOLS
TECHNICAL,PROBLEMS IN ARCHITECTURE
TECHNICAL,LACK OF TRAINING
TECHNICAL,LACK OF COMMITMENT
TECHNICAL,LACK OF DOMAIN KNOWLEDGE
TECHNICAL,SLOPPY CODE
TECHNICAL,POOR ALLOCATION OF RESOURCES
TECHNICAL,LACK OF PERCEPTION OF THE IMPORTANCE OF TESTING AND REFACTORING
TECHNICAL,HIGH TURNOVER OF THE TEAM
TECHNICAL,INADEQUATE IMPACT AND RISK ANALYSIS
TECHNICAL,CHANGE OF REQUIREMENTS
TECHNICAL,LACK OF REQUIREMENTS ANALYSIS
TECHNICAL,COST
TECHNICAL,TEST NOT PERFORMED
TECHNICAL,COMPLEXITY OF THE PROJECT
TECHNICAL,NONEXISTENT DOCUMENTATION
TECHNICAL,ADOPTION OF CONTOUR SOLUTIONS AS DEFINITIVE
TECHNICAL,LACK OF QUALITY
TECHNICAL,LACK OF CODE REVIEW
TECHNICAL,LACK OF SPECIFIC TEAM
TECHNICAL,POOR SCOPE DEFINITION
TECHNICAL,OUTDATED / INCOMPLETE DOCUMENTATION
TECHNICAL,INADEQUATE CHOICE OF TECHNOLOGY / TOOL / PLATFORM
TECHNICAL,LACK OF VALIDATION
TECHNICAL,MANAGER'S LACK OF AWARENESS OF CUSTOMER NEEDS
TECHNICAL,LACK OF REFACTORING
TECHNICAL,NON-COMPLIANCE WITH NON-FUNCTIONAL REQUIREMENTS
TECHNICAL,REQUIREMENTS ELICITATION ISSUES
TECHNICAL,LACK OF KNOWLEDGE
TECHNICAL,BAD TECHNICAL LEADERSHIP
TECHNICAL,CHANGE OF SCOPE
TECHNICAL,EXTERNAL COMPONENT DEPENDENCY
TECHNICAL,REQUIRED INFRASTRUCTURE UNAVAILABLE
TECHNICAL,LACK OF MOTIVATION
TECHNICAL,THE COMPANY DOES NOT GIVE IMPORTANCE TO DOCUMENTATION
TECHNICAL,POORLY CRAFTED SLAS
TECHNICAL,CUSTOMER DOES NOT LISTEN TO PROJECT TEAM
TECHNICAL,POOR DESIGN
TECHNICAL,LACK OF TRANSPARENCY BETWEEN CLIENT AND DEVELOPMENT TEAM
TECHNICAL,CHANGE IN EXTERNAL COMPONENT
TECHNICAL,NON-COMPLIANCE WITH POLICIES ESTABLISHED BY MANAGEMENT
TECHNICAL,POOR CHOICE OF FRAMEWORK
TECHNICAL,LACK OF AUTOMATED TESTING
TECHNICAL,REQUIREMENTS DEFINITION ISSUES
TECHNICAL,DEVELOPERS DO NOT LIKE TO DO SOME ACTIVITIES
TECHNICAL,LOW PRODUCTIVITY
TECHNICAL,LACK OF INFORMATION
TECHNICAL,LACK OF REUSE PRACTICES
TECHNICAL,CONCERN WITH JUST BACK-END DEVELOPMENT
TECHNICAL,INSUFFICIENT LONG-TERM VISION
TECHNICAL,INADEQUATE MANAGEMENT DECISION
TECHNICAL,VERSION INCOMPATIBILITY
TECHNICAL,DISCONTINUED COMPONENT
TECHNICAL,INADEQUATE DATA MODEL
TECHNICAL,THIRD PARTY TEAM INVOLVED IN THE PROJECT
TECHNICAL,LACK OF TRACEABILITY OF BUGS
TECHNICAL,NON-SHARING OF KNOWLEDGE
TECHNICAL,OVER PROJECT PLANNING
TECHNICAL,LACK OF CHANGE CONTROL
TECHNICAL,FEAR TO GIVE AN OPINION
TECHNICAL,OVER DOCUMENTATION
TECHNICAL,LACK OF PRIORITIZATION AT COMPANY LEVEL
TECHNICAL,POOR TECHNICAL MANAGEMENT
TECHNICAL,DEADLINE
TECHNICAL,AVOID CHANGES IN WORKING CODE
TECHNICAL,LACK OF PROTOTYPING
TECHNICAL,BE RESPONSIBLE FOR CODE FROM OTHERS
TECHNICAL,CHANGE IN DESIGN
TECHNICAL,INADEQUATE TECHNICAL DECISION
TECHNICAL,UPDATING EXISTING TOOLS
TECHNICAL,FOCUS ON PRODUCING MORE AT THE EXPENSE  OF QUALITY
TECHNICAL,LACK OF PERCEPTION OF THE IMPORTANCE OF AUTOMATED TESTS
TECHNICAL,LACK OF PERCEPTION OF THE IMPORTANCE OF DEALING WITH TD
TECHNICAL,CUSTOMER DOES NOT WILLING TO PAY
TECHNICAL,LACK OF A WELL DEFINED PROCESS
TECHNICAL,STRUCTURAL CHANGE IN THE COMPANIES INVOLVED
TECHNICAL,UNNECESSARY DOCUMENTATION
TECHNICAL,BE RESPONSABLE FOR CODE FROM OTHERS
TECHNICAL,LACK OF PRIORITY FOR THE PROJECT
TECHNICAL,POLITICS IN THE BUSINESS
TECHNICAL,DEPLOYMENT
TECHNICAL,LACK OF INTEREST IN ACQUIRING KNOWLEDGE
TECHNICAL,INTEGRATION OF NEW TOOLS
MANAGEMENT,DEADLINE
MANAGEMENT,NOT EFFECTIVE PROJECT MANAGEMENT
MANAGEMENT,LACK OF QUALIFIED PROFESSIONALS
MANAGEMENT,INACCURATE TIME ESTIMATE
MANAGEMENT,LACK OF A WELL-DEFINED PROCESS
MANAGEMENT,FOCUS ON PRODUCING MORE AT THE EXPENSE OF QUALITY
MANAGEMENT,COST
MANAGEMENT,INAPPROPRIATE PLANNING
MANAGEMENT,NON-ADOPTION OF GOOD PRACTICES
MANAGEMENT,HIGH TURNOVER OF THE TEAM
MANAGEMENT,INAPPROPRIATE / POORLY PLANNED / POORLY EXECUTED TEST
MANAGEMENT,LACK OF EXPERIENCE
MANAGEMENT,LACK OF TECHNICAL KNOWLEDGE
MANAGEMENT,CHANGE OF REQUIREMENTS
MANAGEMENT,PRESSURE
MANAGEMENT,LACK OF TRAINING
MANAGEMENT,POOR SCOPE DEFINITION
MANAGEMENT,LACK OF COMMITMENT
MANAGEMENT,LACK OF TEAM COMMUNICATION
MANAGEMENT,SLOPPY CODE
MANAGEMENT,BAD DESIGN
MANAGEMENT,PROBLEMS IN ARCHITECTURE
MANAGEMENT,TEAM OVERLOAD
MANAGEMENT,CHANGE OF SCOPE
MANAGEMENT,MANAGER'S LACK OF AWARENESS OF CUSTOMER NEEDS
MANAGEMENT,LACK OF DOMAIN KNOWLEDGE
MANAGEMENT,CUSTOMER DOES NOT KNOW HIS OWN NEEDS
MANAGEMENT,INACCURATE OR COMPLEX REQUIREMENT
MANAGEMENT,OUTDATED / INCOMPLETE DOCUMENTATION
MANAGEMENT,EXTERNAL COMPONENT DEPENDENCY
MANAGEMENT,LACK OF REFACTORING
MANAGEMENT,REQUIREMENTS ELICITATION ISSUES
MANAGEMENT,STRUCTURAL CHANGE IN THE COMPANIES INVOLVED
MANAGEMENT,LACK OF CODE REVIEW
MANAGEMENT,LACK OF PERCEPTION OF THE IMPORTANCE OF TESTING AND REFACTORING
MANAGEMENT,LACK OF KNOWLEDGE
MANAGEMENT,BAD TECHNICAL LEADERSHIP
MANAGEMENT,TEST NOT PERFORMED
MANAGEMENT,INADEQUATE IMPACT AND RISK ANALYSIS
MANAGEMENT,POOR ALLOCATION OF RESOURCES
MANAGEMENT,NON-COMPLIANCE WITH POLICIES ESTABLISHED BY MANAGEMENT
MANAGEMENT,POOR CHOICE OF FRAMEWORK
MANAGEMENT,NON-COMPLIANCE WITH NON-FUNCTIONAL REQUIREMENTS
MANAGEMENT,LACK OF MOTIVATION
MANAGEMENT,THIRD PARTY TEAM INVOLVED IN THE PROJECT
MANAGEMENT,CUSTOMER DOES NOT LISTEN TO PROJECT TEAM
MANAGEMENT,DEVELOPERS DO NOT LIKE TO DO SOME ACTIVITIES
MANAGEMENT,LACK OF KNOWLEDGE ON DEVELOPMENT TOOLS
MANAGEMENT,LACK OF CUSTOMER COMMITMENT
MANAGEMENT,LACK OF TRANSPARENCY BETWEEN CLIENT AND DEVELOPMENT TEAM
MANAGEMENT,LACK OF VALIDATION
MANAGEMENT,INADEQUATE MANAGEMENT DECISION
MANAGEMENT,INSUFFICIENT LONG-TERM VISION
MANAGEMENT,POORLY CRAFTED SLAS
MANAGEMENT,LACK OF UNDERSTANDING
MANAGEMENT,REQUIREMENTS DEFINITION ISSUES
MANAGEMENT,LACK OF INFORMATION
MANAGEMENT,DEPLOYMENT
MANAGEMENT,INADEQUATE CHOICE OF TECHNOLOGY / TOOL / PLATFORM
MANAGEMENT,LACK OF REUSE PRACTICES
MANAGEMENT,LACK OF SPECIFIC TEAM
MANAGEMENT,COMPLEXITY OF THE PROJECT
MANAGEMENT,REQUIRED INFRASTRUCTURE UNAVAILABLE
MANAGEMENT,DEADLINE
MANAGEMENT,EXTERNAL COMPONENT LIMITATION
MANAGEMENT,LOW QUALITY
MANAGEMENT,LACK OF AUTOMATED TESTING
MANAGEMENT,THE COMPANY DOES NOT GIVE IMPORTANCE TO QUALITY
MANAGEMENT,INADEQUATE DATA MODEL
MANAGEMENT,LACK OF CONFIDENCE IN THE DEVELOPMENT
MANAGEMENT,LACK OF CONFIDENCE IN THE PRODUCT
